"","Samples","class"
"235","SRR5102095.A01.htseq","SI.Enterocyte.Progenitor"
"1791","SRR5102063.A01.htseq","SI.Tuft.Cells"
"817","SRR5102739.A01.htseq","SI.Stem"
"584","SRR5101992.A01.htseq","SI.Late.Enterocyte"
"818","SRR5102948.A01.htseq","SI.Stem"
"42","SRR5102409.A01.htseq","SI.Early.Enterocyte"
"406","GFPneg.SI1.Singlet.2.F7.htseq","SI.Enteroendocrine"
"1712","GFPneg.C1.Singlet.4.F5.htseq","C.Stem"
"1792","SRR5102449.A01.htseq","SI.Tuft.Cells"
"236","SRR5103115.A01.htseq","SI.Enterocyte.Progenitor"
"1793","SRR5103265.A01.htseq","SI.Tuft.Cells"
"237","SRR5103782.A01.htseq","SI.Enterocyte.Progenitor"
"1713","GFPpos.C1.Singlet.4.D9.htseq","C.Stem"
"43","SRR5103333.A01.htseq","SI.Early.Enterocyte"
"44","SRR5102044.A01.htseq","SI.Early.Enterocyte"
"238","SRR5102151.A01.htseq","SI.Enterocyte.Progenitor"
"463","SRR5102785.A01.htseq","SI.Goblet"
"819","NJA00104.E07.htseq","SI.Stem"
"1668","GFPneg.C1.Singlet.4.G1.htseq","C.Goblet"
"820","SRR5103429.A01.htseq","SI.Stem"
"1280","SRR5102856.A01.htseq","SI.TA.Cells"
"1281","NJA00103.G04.htseq","SI.TA.Cells"
"464","NJA00102.E11.htseq","SI.Goblet"
"1714","GFPneg.C1.Singlet.4.F6.htseq","C.Stem"
"1715","GFPneg.C1.Singlet.4.A6.htseq","C.Stem"
"821","SRR5103551.A01.htseq","SI.Stem"
"822","SRR5103422.A01.htseq","SI.Stem"
"823","SRR5102618.A01.htseq","SI.Stem"
"45","SRR5102863.A01.htseq","SI.Early.Enterocyte"
"465","SRR5103699.A01.htseq","SI.Goblet"
"239","SRR5102466.A01.htseq","SI.Enterocyte.Progenitor"
"824","SRR5102579.A01.htseq","SI.Stem"
"1794","SRR5103283.A01.htseq","SI.Tuft.Cells"
"1795","SRR5103477.A01.htseq","SI.Tuft.Cells"
"825","SRR5103397.A01.htseq","SI.Stem"
"466","SRR5103618.A01.htseq","SI.Goblet"
"1282","NJA00104.A03.htseq","SI.TA.Cells"
"1283","SRR5103352.A01.htseq","SI.TA.Cells"
"1284","SRR5103187.A01.htseq","SI.TA.Cells"
"240","SRR5103591.A01.htseq","SI.Enterocyte.Progenitor"
"1285","SRR5103550.A01.htseq","SI.TA.Cells"
"826","SRR5103545.A01.htseq","SI.Stem"
"1286","SRR5103859.A01.htseq","SI.TA.Cells"
"407","SRR5103319.A01.htseq","SI.Enteroendocrine"
"827","SRR5102807.A01.htseq","SI.Stem"
"828","SRR5102684.A01.htseq","SI.Stem"
"467","SRR5102458.A01.htseq","SI.Goblet"
"829","SRR5102457.A01.htseq","SI.Stem"
"585","NJA00102.H01.htseq","SI.Late.Enterocyte"
